,train,val,test
0,patient_040_node_1,patient_083_node_2,patient_015_node_0
1,patient_023_node_0,patient_027_node_1,patient_057_node_3
2,patient_059_node_0,patient_063_node_1,patient_010_node_1
3,patient_090_node_1,patient_053_node_1,patient_050_node_3
4,patient_077_node_0,patient_003_node_2,patient_007_node_3
5,patient_049_node_0,patient_012_node_3,patient_009_node_4
6,patient_038_node_3,patient_053_node_0,patient_061_node_1
7,patient_008_node_4,patient_049_node_3,patient_088_node_3
8,patient_025_node_0,patient_079_node_4,patient_006_node_3
9,patient_074_node_2,patient_061_node_3,patient_027_node_3
10,patient_028_node_4,patient_075_node_3,patient_084_node_1
11,patient_099_node_0,patient_024_node_0,patient_001_node_2
12,patient_093_node_0,patient_094_node_3,patient_043_node_0
13,patient_068_node_3,patient_051_node_3,patient_093_node_3
14,patient_086_node_1,patient_074_node_1,patient_068_node_2
15,patient_088_node_2,patient_040_node_0,patient_050_node_1
16,patient_070_node_0,patient_042_node_1,patient_048_node_2
17,patient_082_node_3,patient_047_node_0,patient_082_node_2
18,patient_006_node_1,patient_064_node_4,patient_003_node_0
19,patient_015_node_3,patient_000_node_0,patient_041_node_4
20,patient_083_node_4,patient_084_node_4,patient_031_node_2
21,patient_070_node_4,patient_030_node_1,patient_077_node_1
22,patient_001_node_4,patient_053_node_3,patient_095_node_4
23,patient_062_node_4,patient_058_node_4,patient_073_node_0
24,patient_042_node_4,patient_078_node_0,patient_054_node_1
25,patient_005_node_0,patient_004_node_2,patient_034_node_4
26,patient_089_node_1,patient_079_node_3,patient_059_node_3
27,patient_031_node_0,patient_077_node_3,patient_042_node_0
28,patient_008_node_3,patient_049_node_4,patient_004_node_0
29,patient_003_node_1,patient_056_node_3,patient_086_node_3
30,patient_056_node_4,patient_084_node_0,patient_033_node_4
31,patient_097_node_2,patient_046_node_2,patient_000_node_3
32,patient_070_node_1,patient_024_node_1,patient_016_node_2
33,patient_099_node_1,patient_084_node_3,patient_007_node_1
34,patient_071_node_0,patient_022_node_1,patient_098_node_2
35,patient_037_node_4,patient_041_node_0,patient_031_node_4
36,patient_075_node_0,patient_007_node_4,patient_042_node_2
37,patient_001_node_3,patient_017_node_2,patient_047_node_3
38,patient_020_node_3,patient_080_node_0,patient_011_node_3
39,patient_095_node_1,patient_013_node_2,patient_039_node_3
40,patient_087_node_4,patient_093_node_4,patient_007_node_2
41,patient_092_node_2,patient_021_node_4,patient_023_node_1
42,patient_023_node_3,patient_063_node_2,patient_039_node_4
43,patient_057_node_0,patient_019_node_1,patient_006_node_0
44,patient_081_node_3,patient_033_node_1,patient_074_node_0
45,patient_043_node_3,patient_072_node_4,patient_002_node_3
46,patient_064_node_1,patient_084_node_2,patient_061_node_0
47,patient_060_node_1,patient_018_node_4,patient_078_node_3
48,patient_022_node_3,patient_080_node_1,patient_091_node_0
49,patient_031_node_3,patient_005_node_4,patient_098_node_1
50,patient_055_node_1,,patient_065_node_1
51,patient_034_node_0,,patient_079_node_2
52,patient_050_node_2,,patient_025_node_1
53,patient_009_node_3,,patient_048_node_4
54,patient_016_node_3,,patient_010_node_3
55,patient_065_node_3,,patient_078_node_1
56,patient_057_node_2,,patient_011_node_1
57,patient_089_node_2,,patient_059_node_1
58,patient_056_node_2,,patient_055_node_0
59,patient_044_node_2,,patient_017_node_0
60,patient_005_node_1,,patient_083_node_3
61,patient_073_node_2,,patient_045_node_2
62,patient_002_node_0,,patient_087_node_3
63,patient_057_node_4,,patient_065_node_2
64,patient_032_node_3,,patient_066_node_3
65,patient_083_node_1,,patient_074_node_4
66,patient_090_node_2,,patient_066_node_2
67,patient_055_node_4,,patient_097_node_0
68,patient_037_node_2,,patient_049_node_1
69,patient_053_node_2,,patient_096_node_2
70,patient_012_node_4,,patient_088_node_1
71,patient_001_node_0,,patient_024_node_4
72,patient_005_node_2,,patient_067_node_4
73,patient_002_node_1,,patient_076_node_2
74,patient_087_node_2,,patient_009_node_0
75,patient_036_node_1,,patient_086_node_4
76,patient_022_node_2,,patient_045_node_0
77,patient_037_node_3,,patient_027_node_4
78,patient_036_node_4,,patient_034_node_3
79,patient_044_node_1,,patient_092_node_4
80,patient_044_node_0,,patient_064_node_3
81,patient_018_node_0,,patient_037_node_1
82,patient_085_node_3,,patient_063_node_4
83,patient_035_node_0,,patient_062_node_0
