,train,val,test
0,patient_088_node_3,patient_067_node_2,patient_039_node_2
1,patient_047_node_0,patient_098_node_2,patient_007_node_2
2,patient_040_node_1,patient_050_node_1,patient_059_node_2
3,patient_000_node_0,patient_037_node_0,patient_034_node_1
4,patient_030_node_1,patient_031_node_4,patient_086_node_3
5,patient_090_node_1,patient_065_node_1,patient_068_node_0
6,patient_077_node_0,patient_090_node_2,patient_083_node_0
7,patient_049_node_0,patient_003_node_4,patient_033_node_4
8,patient_025_node_0,patient_050_node_0,patient_042_node_2
9,patient_074_node_2,patient_023_node_0,patient_048_node_3
10,patient_003_node_2,patient_058_node_0,patient_001_node_4
11,patient_054_node_1,patient_052_node_4,patient_001_node_0
12,patient_095_node_4,patient_001_node_2,patient_036_node_1
13,patient_093_node_0,patient_074_node_1,patient_014_node_1
14,patient_068_node_3,patient_023_node_1,patient_008_node_4
15,patient_034_node_4,patient_061_node_2,patient_037_node_3
16,patient_086_node_1,patient_029_node_4,patient_038_node_3
17,patient_088_node_2,patient_003_node_1,patient_074_node_3
18,patient_070_node_0,patient_059_node_3,patient_038_node_1
19,patient_082_node_3,patient_010_node_3,patient_084_node_4
20,patient_006_node_1,patient_075_node_0,patient_099_node_2
21,patient_015_node_3,patient_006_node_3,patient_090_node_0
22,patient_065_node_2,patient_041_node_1,patient_089_node_1
23,patient_062_node_4,patient_078_node_3,patient_055_node_2
24,patient_042_node_4,patient_047_node_3,patient_036_node_0
25,patient_091_node_0,patient_050_node_3,patient_065_node_3
26,patient_005_node_0,patient_093_node_2,patient_059_node_0
27,patient_031_node_0,patient_079_node_1,patient_083_node_2
28,patient_006_node_0,patient_034_node_2,patient_095_node_2
29,patient_008_node_3,patient_059_node_1,patient_083_node_4
30,patient_056_node_4,patient_009_node_4,patient_020_node_3
31,patient_097_node_2,patient_073_node_4,patient_099_node_0
32,patient_070_node_1,patient_015_node_2,patient_078_node_1
33,patient_099_node_1,patient_013_node_2,patient_071_node_4
34,patient_071_node_0,patient_062_node_2,patient_084_node_1
35,patient_037_node_4,patient_094_node_0,patient_000_node_3
36,patient_001_node_3,patient_037_node_1,patient_015_node_0
37,patient_004_node_2,patient_012_node_0,patient_016_node_4
38,patient_095_node_1,patient_087_node_0,patient_031_node_2
39,patient_087_node_4,patient_063_node_3,patient_035_node_4
40,patient_023_node_3,patient_010_node_0,patient_045_node_2
41,patient_057_node_0,patient_017_node_4,patient_063_node_1
